Metric,Value,Timestamp
total_transactions,1250,2026-02-06T12:00:00Z
successful_transactions,1234,2026-02-06T12:00:00Z
failed_transactions,16,2026-02-06T12:00:00Z
success_rate_percent,98.72,2026-02-06T12:00:00Z
average_tps,2847,2026-02-06T12:00:00Z
current_epoch,523,2026-02-06T12:00:00Z
current_slot,243567890,2026-02-06T12:00:00Z
usdc_transfers,412,2026-02-06T12:00:00Z
usdt_transfers,234,2026-02-06T12:00:00Z
sol_transfers,156,2026-02-06T12:00:00Z
total_dex_trades,2340,2026-02-06T12:00:00Z
jupiter_trades,987,2026-02-06T12:00:00Z
raydium_trades,756,2026-02-06T12:00:00Z
orca_trades,432,2026-02-06T12:00:00Z
total_nft_activities,543,2026-02-06T12:00:00Z
magic_eden_activities,387,2026-02-06T12:00:00Z
tensor_activities,112,2026-02-06T12:00:00Z
network_health,healthy,2026-02-06T12:00:00Z
